date,newyork,sanfrancisco,austin
20120101,46,53,55
20120102,43,53,48
20120103,30,49,41
20120104,19,52,48
20120105,32,52,54
20120106,41,49,61
20120107,47,51,59
20120108,46,56,52
20120109,34,52,54
20120110,39,51,47
20120111,40,49,49
20120112,45,51,48
20120113,40,53,40
20120114,30,52,43
20120115,23,49,45
20120116,22,45,65
20120117,39,43,68
20120118,43,45,47
20120119,26,47,57
20120120,32,51,61
20120121,27,53,54
20120122,25,48,56
20120123,39,52,54
20120124,48,49,52
20120125,43,52,61
20120126,37,53,55
20120127,48,50,50
20120128,43,50,52
20120129,40,53,44
20120130,38,51,49
20120131,43,50,62
20120201,50,50,64
20120202,45,51,61
20120203,37,51,70
20120204,40,52,61
20120205,36,53,48
20120206,39,54,44
20120207,43,54,51
20120208,36,51,49
20120209,36,53,45
20120210,38,53,54
20120211,36,52,44
20120212,29,50,36
20120213,33,49,44
20120214,39,48,52
20120215,42,49,68
20120216,39,52,54
20120217,46,49,53
20120218,41,51,56
20120219,39,47,50
20120220,38,48,53
20120221,37,49,61
20120222,45,53,68
20120223,50,54,69
20120224,42,55,59
20120225,42,51,47
20120226,36,47,47
20120227,40,45,61
20120228,45,47,67
20120229,40,49,70
20120301,41,48,62
20120302,36,48,72
20120303,47,50,59
20120304,44,55,51
20120305,38,48,55
20120306,32,48,61
20120307,43,49,67
20120308,51,49,72
20120309,47,51,46
20120310,37,49,46
20120311,42,50,56
20120312,48,48,61
20120313,52,53,68
20120314,60,55,71
20120315,47,55,72
20120316,44,54,72
20120317,48,48,71
20120318,48,47,71
20120319,53,45,73
20120320,57,49,63
20120321,57,51,60
20120322,57,51,62
20120323,61,48,61
20120324,55,49,62
20120325,48,46,64
20120326,49,49,66
20120327,39,54,65
20120328,49,54,69
20120329,56,52,69
20120330,46,54,73
20120331,42,56,73
20120401,45,51,75
20120402,48,50,75
20120403,51,52,77
20120404,61,50,67
20120405,50,47,71
20120406,48,47,70
20120407,51,49,73
20120408,55,50,71
20120409,58,51,70
20120410,55,53,69
20120411,49,52,69
20120412,51,53,74
20120413,53,50,73
20120414,55,50,76
20120415,62,51,74
20120416,62,51,63
20120417,69,53,67
20120418,59,53,65
20120419,54,55,67
20120420,56,55,68
20120421,58,58,65
20120422,52,52,65
20120423,51,55,70
20120424,49,57,67
20120425,52,57,75
20120426,50,55,77
20120427,51,53,77
20120428,47,54,77
20120429,54,54,77
20120430,51,53,77
20120501,57,52,77
20120502,53,50,77
20120503,53,52,79
20120504,57,53,80
20120505,57,53,82
20120506,56,56,79
20120507,54,55,79
20120508,57,52,70
20120509,59,52,69
20120510,61,53,71
20120511,59,53,69
20120512,64,49,72
20120513,65,52,72
20120514,64,56,72
20120515,62,53,67
20120516,63,51,69
20120517,64,51,72
20120518,61,52,73
20120519,62,52,77
20120520,66,54,75
20120521,62,52,76
20120522,63,53,78
20120523,66,56,77
20120524,64,54,80
20120525,65,52,81
20120526,69,52,82
20120527,71,52,80
20120528,74,52,80
20120529,75,52,82
20120530,72,52,81
20120531,72,53,82
20120601,67,54,77
20120602,68,54,81
20120603,67,52,82
20120604,61,55,81
20120605,58,53,83
20120606,61,54,83
20120607,66,53,82
20120608,68,54,77
20120609,72,55,77
20120610,72,60,82
20120611,69,57,86
20120612,66,55,85
20120613,66,53,76
20120614,67,53,84
20120615,68,54,84
20120616,67,57,83
20120617,64,55,82
20120618,61,52,82
20120619,66,53,82
20120620,77,55,81
20120621,88,53,80
20120622,82,54,81
20120623,77,55,83
20120624,75,55,85
20120625,70,56,87
20120626,65,57,88
20120627,73,57,89
20120628,77,56,86
20120629,79,56,85
20120630,84,58,81
20120701,81,58,78
20120702,82,56,83
20120703,80,56,83
20120704,77,55,84
20120705,86,54,84
20120706,79,54,84
20120707,83,54,86
20120708,81,52,84
20120709,77,53,83
20120710,76,53,77
20120711,76,52,77
20120712,75,52,80
20120713,77,53,81
20120714,79,54,80
20120715,78,54,81
20120716,79,54,77
20120717,83,56,80
20120718,84,57,81
20120719,75,57,80
20120720,68,58,83
20120721,68,57,85
20120722,72,56,83
20120723,75,56,84
20120724,82,57,83
20120725,78,57,84
20120726,77,56,84
20120727,79,55,84
20120728,77,55,83
20120729,72,55,85
20120730,72,55,84
20120731,73,55,86
20120801,75,55,86
20120802,77,54,85
20120803,79,53,85
20120804,79,54,86
20120805,81,57,84
20120806,80,58,81
20120807,75,58,86
20120808,77,57,86
20120809,78,55,86
20120810,77,54,88
20120811,78,53,85
20120812,78,52,87
20120813,78,53,88
20120814,76,53,88
20120815,76,56,87
20120816,75,57,86
20120817,77,55,86
20120818,72,56,84
20120819,70,54,76
20120820,71,53,80
20120821,73,53,80
20120822,74,54,78
20120823,74,55,79
20120824,76,54,81
20120825,76,53,84
20120826,73,56,83
20120827,74,58,82
20120828,79,58,84
20120829,74,57,85
20120830,73,55,87
20120831,77,55,82
20120901,80,55,84
20120902,75,53,83
20120903,73,53,85
20120904,73,52,86
20120905,77,54,85
20120906,74,56,85
20120907,76,56,85
20120908,77,56,81
20120909,69,56,74
20120910,67,55,71
20120911,64,56,75
20120912,68,55,82
20120913,69,54,80
20120914,70,55,70
20120915,69,54,71
20120916,66,52,70
20120917,67,54,72
20120918,72,54,73
20120919,67,56,72
20120920,62,55,71
20120921,64,55,72
20120922,65,55,73
20120923,65,52,75
20120924,60,54,78
20120925,63,53,78
20120926,68,53,79
20120927,69,52,76
20120928,68,52,77
20120929,62,53,75
20120930,62,55,71
